hour_utc,trades,win_rate,profit_factor,net_profit
0,3,0.0,0.0,-3014.0
1,2,100.0,124000000000.0,124.0
2,6,66.7,0.538,-791.0
3,17,58.8,0.357,-5616.0
4,8,37.5,0.201,-4651.0
5,4,25.0,0.02,-3141.0
6,8,50.0,0.077,-7691.0
7,11,45.5,0.432,-4008.0
8,11,36.4,0.084,-4740.0
9,14,71.4,3.101,13180.0
10,17,70.6,0.812,-1768.0
11,12,75.0,0.507,-4296.0
12,4,50.0,0.099,-3476.0
13,2,100.0,2247000000000.0,2247.0
14,7,57.1,0.453,-3529.0
15,9,66.7,0.234,-5870.0
16,15,66.7,0.375,-10319.0
17,9,77.8,1.21,1290.0
18,8,75.0,0.305,-4857.0
19,2,50.0,0.074,-2510.0
20,8,50.0,0.24,-6596.0
21,3,66.7,0.446,-609.0
22,6,33.3,0.055,-4317.0
23,7,57.1,1.048,171.0
