variant,sh2014,sh2015,sh2016,sh2017,sh2018,sh2019,sh2020,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026
N2_M_equal,,-0.55,0.62,-0.31,-0.6,0.68,-0.6,0.52,-0.35,0.61,1.12,0.45,1.99
N2_M_diff,,-0.5,0.6,-0.34,-0.38,0.65,-0.6,0.28,-0.41,0.59,0.99,0.5,1.99
N2_W_equal,,-0.53,0.62,-0.31,-0.75,0.92,-0.63,0.52,-0.23,0.6,1.12,0.45,1.99
N2_W_diff,,-0.44,0.61,-0.35,-0.53,0.89,-0.68,0.52,-0.08,0.71,1.12,0.27,1.99
N2_M_equal_LO,,-0.84,0.04,0.79,-1.0,0.48,-0.53,-0.27,-1.38,0.09,-0.7,0.75,0.96
N3_M_equal,,-1.16,-0.07,-0.02,-0.79,0.39,-0.55,0.92,0.15,0.68,0.72,-0.13,2.0
N3_M_diff,,-0.65,0.56,-0.14,-0.33,0.39,-0.61,0.41,-0.55,0.62,0.79,0.07,1.93
N3_W_equal,,-1.1,-0.09,-0.02,-0.79,0.45,-0.54,0.92,0.26,0.69,0.84,-0.28,2.0
N3_W_diff,,-0.57,0.56,-0.15,-0.3,0.45,-0.65,0.78,-0.05,0.7,0.98,-0.3,1.93
N3_M_equal_LO,,-1.26,-0.43,0.98,-1.01,0.38,-0.41,-0.23,-1.21,0.26,-1.06,0.44,0.77
