pair,param,value,pf,net,maxDD,worst,nFS,is_v7
GBPJPY,atr_mult,1.0,0.8355,-11115629.0,15399729.0,-2772400.0,39,False
GBPJPY,atr_mult,1.5,0.8073,-11547299.0,17859067.0,-2750400.0,37,True
GBPJPY,atr_mult,2.0,0.846,-7678857.0,11028143.0,-1842400.0,32,False
GBPJPY,max_levels,3.0,0.9536,-1956931.0,6453182.0,-2750400.0,5,False
GBPJPY,max_levels,5.0,0.8532,-8006903.0,11371213.0,-2750400.0,25,False
GBPJPY,max_levels,7.0,0.8073,-11547299.0,17859067.0,-2750400.0,37,True
GBPJPY,ci_threshold,61.8,0.8073,-11547299.0,17859067.0,-2750400.0,37,True
GBPJPY,ci_threshold,65.0,0.9367,-1618524.0,8358996.0,-1856600.0,15,False
GBPJPY,float_stop,-750000.0,0.7818,-12989506.0,13934399.0,-2750400.0,70,False
GBPJPY,float_stop,-1500000.0,0.8073,-11547299.0,17859067.0,-2750400.0,37,True
GBPJPY,float_stop,-2250000.0,0.8339,-9763185.0,15283213.0,-2750400.0,21,False
CHFJPY,atr_mult,1.0,0.9454,-1320557.0,2776471.0,-1531600.0,2,True
CHFJPY,atr_mult,1.5,0.8563,-3250539.0,4293729.0,-1526300.0,3,False
CHFJPY,atr_mult,2.0,0.7495,-5710886.0,5947586.0,-1526300.0,3,False
CHFJPY,max_levels,3.0,0.9454,-1320557.0,2776471.0,-1531600.0,2,True
CHFJPY,max_levels,5.0,0.9545,-1270214.0,3122079.0,-1581000.0,8,False
CHFJPY,max_levels,7.0,1.0324,900971.0,3011264.0,-1687700.0,14,False
CHFJPY,ci_threshold,61.8,1.023,970214.0,2978436.0,-1568000.0,2,False
CHFJPY,ci_threshold,65.0,0.9454,-1320557.0,2776471.0,-1531600.0,2,True
CHFJPY,float_stop,-750000.0,1.0205,465221.0,1793036.0,-920400.0,9,False
CHFJPY,float_stop,-1500000.0,0.9454,-1320557.0,2776471.0,-1531600.0,2,True
CHFJPY,float_stop,-2250000.0,0.9675,-768057.0,2406479.0,-2297200.0,1,False
NZDJPY,atr_mult,1.0,1.1967,6270521.0,2819764.0,-1166900.0,23,False
NZDJPY,atr_mult,1.5,1.0998,2841093.0,3733907.0,-1195000.0,24,True
NZDJPY,atr_mult,2.0,1.1678,4031243.0,2898857.0,-1162400.0,23,False
NZDJPY,max_levels,3.0,0.9834,-424879.0,1990343.0,-1717900.0,1,False
NZDJPY,max_levels,5.0,1.1374,3576811.0,2525550.0,-1131400.0,13,False
NZDJPY,max_levels,7.0,1.0998,2841093.0,3733907.0,-1195000.0,24,True
NZDJPY,ci_threshold,61.8,1.0998,2841093.0,3733907.0,-1195000.0,24,True
NZDJPY,ci_threshold,65.0,1.0841,1272907.0,4696354.0,-1187200.0,13,False
NZDJPY,float_stop,-500000.0,0.9665,-1042021.0,4282218.0,-850300.0,57,False
NZDJPY,float_stop,-1000000.0,1.0998,2841093.0,3733907.0,-1195000.0,24,True
NZDJPY,float_stop,-1500000.0,1.1398,3852825.0,4747782.0,-1651300.0,13,False
AUDCAD,atr_mult,1.0,1.3463,4834234.0,1698030.0,-824688.0,10,True
AUDCAD,atr_mult,1.5,1.514,5582022.0,880833.0,-811728.0,8,False
AUDCAD,atr_mult,2.0,1.0875,1205712.0,2051954.0,-823284.0,13,False
AUDCAD,max_levels,3.0,1.2799,3417429.0,1447161.0,-762480.0,2,False
AUDCAD,max_levels,5.0,1.3463,4834234.0,1698030.0,-824688.0,10,True
AUDCAD,max_levels,7.0,1.1993,3278240.0,1721805.0,-900072.0,19,False
AUDCAD,ci_threshold,61.8,1.3462,10085958.0,1483095.0,-895536.0,16,False
AUDCAD,ci_threshold,65.0,1.3463,4834234.0,1698030.0,-824688.0,10,True
AUDCAD,float_stop,-375000.0,1.1748,2887341.0,1249614.0,-646596.0,38,False
AUDCAD,float_stop,-750000.0,1.3463,4834234.0,1698030.0,-824688.0,10,True
AUDCAD,float_stop,-1125000.0,1.2087,3217791.0,1849099.0,-1164348.0,6,False
