bin,n,wr,pf,avg_net,sum_net,axis
1-3,262,0.4389312977099237,1.0834810090338711,0.7269520045199648,190.46142518423076,hold
4-6,92,0.8695652173913043,4.280163814423208,14.383362670914842,1323.2693657241655,hold
7-12,148,0.9054054054054054,4.684665589338083,18.103092694540482,2679.2577187919915,hold
13-24,217,0.9262672811059908,9.371337236965504,15.113012640080086,3279.5237428973787,hold
25-48,148,0.30405405405405406,0.14094605596719542,-14.412410072569656,-2133.036690740309,hold
49-96,27,0.0,0.0,-78.70740740740746,-2125.1000000000013,hold
97+,0,,,,0.0,hold
2.00-2.25,332,0.6957831325301205,1.260716558854739,2.51349721571571,834.4810756176157,z
2.25-2.50,189,0.7301587301587301,1.670332994714433,5.560060976947171,1050.8515246430154,z
2.50-2.75,132,0.5909090909090909,1.0556688563336005,0.6743225195641874,89.01057258247275,z
2.75-3.00,102,0.5882352941176471,1.5844128210492694,5.95417400983708,607.3257490033822,z
3.00-3.50,88,0.5113636363636364,1.2907607888638086,2.811731572426256,247.43237837351055,z
3.50-4.00,35,0.34285714285714286,2.9610388552365525,8.451789632969918,295.81263715394715,z
4.00+,16,0.6875,26.067366614146454,5.591351530219503,89.46162448351205,z
