entry_th,exit_th,sl_th,tp_dist,sl_dist,RR,sl/ATR_mean,sl/ATR_median,entry/ATR_mean,score
0.003,0.0003,0.0035,0.0027,0.0005,5.4,0.835,0.893,0.716,2.8734
0.003,0.0005,0.0035,0.0025,0.0005,5.0,0.835,0.893,0.716,2.6734
0.003,0.0007,0.0035,0.0023,0.0005,4.6,0.835,0.893,0.716,2.4734
0.003,0.001,0.0035,0.002,0.0005,4.0,0.835,0.893,0.716,2.1734
0.003,0.0003,0.004,0.0027,0.001,2.7,0.955,1.02,0.716,1.4994
0.003,0.0005,0.004,0.0025,0.001,2.5,0.955,1.02,0.716,1.3994
0.0025,0.0003,0.0035,0.0022,0.001,2.2,0.835,0.893,0.597,1.3448
0.003,0.0007,0.004,0.0023,0.001,2.3,0.955,1.02,0.716,1.2993999999999999
0.0025,0.0005,0.0035,0.002,0.001,2.0,0.835,0.893,0.597,1.2448
0.003,0.001,0.004,0.002,0.001,2.0,0.955,1.02,0.716,1.1494
0.0025,0.0007,0.0035,0.0018,0.001,1.8,0.835,0.893,0.597,1.1448
0.003,0.0003,0.0045,0.0027,0.0015,1.8,1.074,1.148,0.716,1.0256
0.0025,0.001,0.0035,0.0015,0.001,1.5,0.835,0.893,0.597,0.9948
0.003,0.0005,0.0045,0.0025,0.0015,1.667,1.074,1.148,0.716,0.9591
0.003,0.0007,0.0045,0.0023,0.0015,1.533,1.074,1.148,0.716,0.8921
